x,y,z
1088.5754,408.0000,-194.5573
1089.5327,408.0000,-196.3052
1090.9555,408.0000,-197.7004
1092.7218,408.0000,-198.6233
1094.6797,408.0000,-198.9945
1094.9537,408.0000,-199.0000
1096.9537,408.0000,-199.0000
1098.9537,408.0000,-199.0000
1100.9537,408.0000,-199.0000
1102.9537,408.0000,-199.0000
1104.9537,408.0000,-199.0000
1106.9537,408.0000,-199.0000
1108.9537,408.0000,-199.0000
1110.9537,408.0000,-199.0000
1112.9537,408.0000,-199.0000
1114.9537,408.0000,-199.0000
1116.9537,408.0000,-199.0000
1118.9537,408.0000,-199.0000
1120.9537,408.0000,-199.0000
1122.9537,408.0000,-199.0000
1124.9537,408.0000,-199.0000
1126.9537,408.0000,-199.0000
1128.9537,408.0000,-199.0000
1130.7000,408.0000,-199.0000
1132.5118,408.3398,-199.0000
1134.1835,409.4132,-199.0000
1135.3053,411.0529,-199.0000
1135.7000,413.0000,-199.0000
1135.7000,415.0000,-199.0000
1135.7000,417.0000,-199.0000
1135.7000,419.0000,-199.0000
1135.7000,421.0000,-199.0000
1135.7000,423.0000,-199.0000
1136.0947,424.9471,-199.0000
1137.2165,426.5868,-199.0000
1138.8882,427.6602,-199.0000
1140.7000,428.0000,-199.0000
1142.7000,428.0000,-199.0000
1144.7000,428.0000,-199.0000
1146.7000,428.0000,-199.0000
1148.7000,428.0000,-199.0000
1150.7000,428.0000,-199.0000
1152.6471,427.6053,-199.0000
1154.2868,426.4835,-199.0000
1155.3602,424.8118,-199.0000
1155.7000,423.0000,-199.0000
1155.7000,421.0000,-199.0000
1155.7000,419.0000,-199.0000
1155.7000,417.0000,-199.0000
1155.7000,415.0000,-199.0000
1155.7000,413.0000,-199.0000
1156.0398,411.1882,-199.0000
1157.1132,409.5165,-199.0000
1158.7529,408.3947,-199.0000
1160.7000,408.0000,-199.0000
1162.7000,408.0000,-199.0000
1164.7000,408.0000,-199.0000
1166.7000,408.0000,-199.0000
1168.7000,408.0000,-199.0000
1170.7000,408.0000,-199.0000
1172.7000,408.0000,-199.0000
1174.7000,408.0000,-199.0000
1176.7000,408.0000,-199.0000
1178.7000,408.0000,-199.0000
1180.7000,408.0000,-199.0000
1182.7000,408.0000,-199.0000
1184.7000,408.0000,-199.0000
1186.7000,408.0000,-199.0000
1188.7000,408.0000,-199.0000
1190.7000,408.0000,-199.0000
1192.7000,408.0000,-199.0000
1194.7000,408.0000,-199.0000
1196.7000,408.0000,-199.0000
1198.7000,408.0000,-199.0000
1200.7000,408.0000,-199.0000
1202.7000,408.0000,-199.0000
1204.7000,408.0000,-199.0000
1206.7000,408.0000,-199.0000
1208.7000,408.0000,-199.0000
1210.7000,408.0000,-199.0000
1212.7000,408.0000,-199.0000
1214.7000,408.0000,-199.0000
1216.7000,408.0000,-199.0000
1218.7000,408.0000,-199.0000
1220.7000,408.0000,-199.0000
1222.7000,408.0000,-199.0000
1224.7000,408.0000,-199.0000
1226.7000,408.0000,-199.0000
1228.7000,408.0000,-199.0000
1230.7000,408.0000,-199.0000
1232.7000,408.0000,-199.0000
1234.7000,408.0000,-199.0000
1235.5983,408.0000,-199.0000
1237.5696,408.0000,-198.7080
1239.3716,408.0000,-197.8571
1240.8495,408.0000,-196.5203
1241.8764,408.0000,-194.8125
1241.9766,408.0000,-194.5573
