x,y,z
1082.0985,587.3291,-194.6000
1082.3929,587.3227,-194.6053
1084.3272,586.9674,-194.9087
1086.0465,586.2411,-195.6130
1087.5223,585.3848,-196.6500
1088.3798,583.8863,-197.5288
1088.4444,583.1398,-197.6067
1089.4762,583.1398,-198.4857
1091.3851,583.1398,-199.0000
1091.3851,583.1398,-199.0000
1093.3851,583.1398,-199.0000
1095.3851,583.1398,-199.0000
1097.3851,583.1398,-199.0000
1099.3851,583.1398,-199.0000
1101.3851,583.1398,-199.0000
1103.3851,583.1398,-199.0000
1105.3851,583.1398,-199.0000
1107.3851,583.1398,-199.0000
1109.3851,583.1398,-199.0000
1111.3851,583.1398,-199.0000
1113.3851,583.1398,-199.0000
1115.3851,583.1398,-199.0000
1117.3851,583.1398,-199.0000
1119.3851,583.1398,-199.0000
1121.3851,583.1398,-199.0000
1123.3851,583.1398,-199.0000
1125.3851,583.1398,-199.0000
1127.3851,583.1398,-199.0000
1129.3851,583.1398,-199.0000
1131.3851,583.1398,-199.0000
1133.3851,583.1398,-199.0000
1135.3851,583.1398,-199.0000
1137.3851,583.1398,-199.0000
1139.3851,583.1398,-199.0000
1141.3851,583.1398,-199.0000
1143.3851,583.1398,-199.0000
1145.3851,583.1398,-199.0000
1147.3851,583.1398,-199.0000
1149.3851,583.1398,-199.0000
1151.3851,583.1398,-199.0000
1153.3851,583.1398,-199.0000
1155.3851,583.1398,-199.0000
1157.3851,583.1398,-199.0000
1159.3851,583.1398,-199.0000
1161.3851,583.1398,-199.0000
1163.3851,583.1398,-199.0000
1165.3851,583.1398,-199.0000
1167.3851,583.1398,-199.0000
1169.3851,583.1398,-199.0000
1171.3851,583.1398,-199.0000
1173.3851,583.1398,-199.0000
1175.3851,583.1398,-199.0000
1177.3851,583.1398,-199.0000
1179.3851,583.1398,-199.0000
1181.3851,583.1398,-199.0000
1183.3851,583.1398,-199.0000
1185.3851,583.1398,-199.0000
1187.3851,583.1398,-199.0000
1189.3851,583.1398,-199.0000
1191.3851,583.1398,-199.0000
1193.3851,583.1398,-199.0000
1195.3851,583.1398,-199.0000
1197.3851,583.1398,-199.0000
1199.3851,583.1398,-199.0000
1201.3851,583.1398,-199.0000
1203.3851,583.1398,-199.0000
1205.3851,583.1398,-199.0000
1207.3851,583.1398,-199.0000
1209.3851,583.1398,-199.0000
1210.1989,583.1398,-199.0000
1210.1989,583.1398,-199.0000
1212.2269,583.1398,-198.3290
1212.2269,583.1398,-198.3289
1212.8018,584.9692,-197.9698
1214.5463,585.6754,-197.5041
1214.7321,585.6795,-197.5000
1215.2679,585.6795,-197.5000
1217.2679,585.6795,-197.5000
1219.2679,585.6795,-197.5000
1221.2679,585.6795,-197.5000
1223.2679,585.6795,-197.5000
1225.2679,585.6795,-197.5000
1227.2679,585.6795,-197.5000
1229.2679,585.6795,-197.5000
1231.2679,585.6795,-197.5000
1233.0766,585.0960,-197.9094
1233.7687,583.3255,-198.3257
1233.7731,583.1398,-198.3290
1235.8012,583.1398,-199.0000
