x,y,z
1318.4233,408.0000,-194.5573
1318.4233,410.0000,-194.5573
1318.4233,412.0000,-194.5573
1318.4233,414.0000,-194.5573
1318.4233,416.0000,-194.5573
1318.4233,418.0000,-194.5573
1318.4233,420.0000,-194.5573
1318.4233,422.0000,-194.5573
1318.4233,424.0000,-194.5573
1318.4233,426.0000,-194.5573
1318.4233,426.6000,-194.5573
1318.4233,426.6000,-194.5573
1318.6087,428.5885,-194.5573
1319.1575,430.5088,-194.5573
1320.0508,432.2950,-194.5573
1321.2586,433.8855,-194.5573
1322.7395,435.2254,-194.5573
1324.4422,436.2693,-194.5573
1326.3079,436.9818,-194.5573
1328.2731,437.3372,-194.5573
1329.2000,437.3767,-194.5573
1329.2000,437.3767,-194.5573
1331.2000,437.3767,-194.5573
1333.2000,437.3767,-194.5573
1335.2000,437.3767,-194.5573
1337.2000,437.3767,-194.5573
1339.2000,437.3767,-194.5573
1341.2000,437.3767,-194.5573
1343.2000,437.3767,-194.5573
1345.2000,437.3767,-194.5573
1347.2000,437.3767,-194.5573
1349.2000,437.3767,-194.5573
1351.2000,437.3767,-194.5573
1353.2000,437.3767,-194.5573
1355.2000,437.3767,-194.5573
1357.2000,437.3767,-194.5573
1359.2000,437.3767,-194.5573
1361.2000,437.3767,-194.5573
1363.2000,437.3767,-194.5573
1365.2000,437.3767,-194.5573
1367.2000,437.3767,-194.5573
1369.2000,437.3767,-194.5573
1371.2000,437.3767,-194.5573
1373.2000,437.3767,-194.5573
1375.2000,437.3767,-194.5573
1377.2000,437.3767,-194.5573
1379.2000,437.3767,-194.5573
1381.2000,437.3767,-194.5573
1383.2000,437.3767,-194.5573
1385.2000,437.3767,-194.5573
1387.2000,437.3767,-194.5573
1389.2000,437.3767,-194.5573
1391.2000,437.3767,-194.5573
1393.2000,437.3767,-194.5573
1395.2000,437.3767,-194.5573
1397.2000,437.3767,-194.5573
1399.2000,437.3767,-194.5573
1401.2000,437.3767,-194.5573
1403.2000,437.3767,-194.5573
1405.2000,437.3767,-194.5573
1407.2000,437.3767,-194.5573
1409.2000,437.3767,-194.5573
1411.2000,437.3767,-194.5573
1413.2000,437.3767,-194.5573
1415.2000,437.3767,-194.5573
1417.2000,437.3767,-194.5573
1419.2000,437.3767,-194.5573
1421.2000,437.3767,-194.5573
1423.2000,437.3767,-194.5573
1425.2000,437.3767,-194.5573
1427.2000,437.3767,-194.5573
1429.2000,437.3767,-194.5573
1431.2000,437.3767,-194.5573
1433.2000,437.3767,-194.5573
1435.2000,437.3767,-194.5573
1437.2000,437.3767,-194.5573
1439.2000,437.3767,-194.5573
1441.2000,437.3767,-194.5573
1443.2000,437.3767,-194.5573
1445.2000,437.3767,-194.5573
1447.2000,437.3767,-194.5573
1449.2000,437.3767,-194.5573
1451.2000,437.3767,-194.5573
1453.2000,437.3767,-194.5573
1455.2000,437.3767,-194.5573
1457.2000,437.3767,-194.5573
1459.2000,437.3767,-194.5573
1461.2000,437.3767,-194.5573
1463.2000,437.3767,-194.5573
1465.2000,437.3767,-194.5573
1467.2000,437.3767,-194.5573
1469.2000,437.3767,-194.5573
1471.2000,437.3767,-194.5573
1473.2000,437.3767,-194.5573
1475.2000,437.3767,-194.5573
1477.2000,437.3767,-194.5573
1479.2000,437.3767,-194.5573
1481.2000,437.3767,-194.5573
1483.2000,437.3767,-194.5573
1485.2000,437.3767,-194.5573
1487.2000,437.3767,-194.5573
1489.2000,437.3767,-194.5573
1491.2000,437.3767,-194.5573
1493.2000,437.3767,-194.5573
1495.2000,437.3767,-194.5573
1497.2000,437.3767,-194.5573
1499.2000,437.3767,-194.5573
1501.2000,437.3767,-194.5573
1503.2000,437.3767,-194.5573
1503.5612,437.3767,-194.5573
1503.5612,437.3767,-194.5573
1505.5497,437.1913,-194.5573
1507.4700,436.6429,-194.5573
1509.2563,435.7498,-194.5573
1510.8463,434.5414,-194.5573
1512.1861,433.0603,-194.5573
1513.2309,431.3582,-194.5573
1513.9436,429.4926,-194.5573
1514.2982,427.5272,-194.5573
1514.3378,426.6000,-194.5573
1514.3378,426.6000,-194.5573
1514.3378,424.6000,-194.5573
1514.3378,422.6000,-194.5573
1514.3378,420.6000,-194.5573
1514.3378,418.6000,-194.5573
1514.3378,416.6000,-194.5573
1514.3378,414.6000,-194.5573
1514.3378,412.6000,-194.5573
1514.3378,410.6000,-194.5573
1514.3378,408.6000,-194.5573
1514.3378,408.0000,-194.5573
