x,y,z
1088.5754,408.0000,-194.5573
1088.5754,410.0000,-194.5573
1088.5754,412.0000,-194.5573
1088.5754,414.0000,-194.5573
1088.5754,416.0000,-194.5573
1088.5754,418.0000,-194.5573
1088.5754,420.0000,-194.5573
1088.5754,422.0000,-194.5573
1088.5754,424.0000,-194.5573
1088.5754,426.0000,-194.5573
1088.5754,426.6000,-194.5573
1088.5754,426.6000,-194.5573
1088.7601,428.5886,-194.5573
1089.3091,430.5088,-194.5573
1090.2032,432.2946,-194.5573
1091.4111,433.8850,-194.5573
1092.8914,435.2256,-194.5573
1094.5939,436.2696,-194.5573
1096.4600,436.9811,-194.5573
1098.4253,437.3365,-194.5573
1099.3520,437.3767,-194.5573
1099.3520,437.3767,-194.5573
1101.3520,437.3767,-194.5573
1103.3520,437.3767,-194.5573
1105.3520,437.3767,-194.5573
1107.3520,437.3767,-194.5573
1109.3520,437.3767,-194.5573
1111.3520,437.3767,-194.5573
1113.3520,437.3767,-194.5573
1115.3520,437.3767,-194.5573
1117.3520,437.3767,-194.5573
1119.3520,437.3767,-194.5573
1121.3520,437.3767,-194.5573
1123.3520,437.3767,-194.5573
1125.3520,437.3767,-194.5573
1127.3520,437.3767,-194.5573
1129.3520,437.3767,-194.5573
1131.3520,437.3767,-194.5573
1133.3520,437.3767,-194.5573
1135.3520,437.3767,-194.5573
1137.3520,437.3767,-194.5573
1139.3520,437.3767,-194.5573
1141.3520,437.3767,-194.5573
1143.3520,437.3767,-194.5573
1145.3520,437.3767,-194.5573
1147.3520,437.3767,-194.5573
1149.3520,437.3767,-194.5573
1151.3520,437.3767,-194.5573
1153.3520,437.3767,-194.5573
1155.3520,437.3767,-194.5573
1157.3520,437.3767,-194.5573
1159.3520,437.3767,-194.5573
1161.3520,437.3767,-194.5573
1163.3520,437.3767,-194.5573
1165.3520,437.3767,-194.5573
1167.3520,437.3767,-194.5573
1169.3520,437.3767,-194.5573
1171.3520,437.3767,-194.5573
1173.3520,437.3767,-194.5573
1175.3520,437.3767,-194.5573
1177.3520,437.3767,-194.5573
1179.3520,437.3767,-194.5573
1181.3520,437.3767,-194.5573
1183.3520,437.3767,-194.5573
1185.3520,437.3767,-194.5573
1187.3520,437.3767,-194.5573
1189.3520,437.3767,-194.5573
1191.3520,437.3767,-194.5573
1193.3520,437.3767,-194.5573
1195.3520,437.3767,-194.5573
1197.3520,437.3767,-194.5573
1199.3520,437.3767,-194.5573
1201.3520,437.3767,-194.5573
1203.3520,437.3767,-194.5573
1205.3520,437.3767,-194.5573
1207.3520,437.3767,-194.5573
1209.3520,437.3767,-194.5573
1211.3520,437.3767,-194.5573
1213.3520,437.3767,-194.5573
1215.3520,437.3767,-194.5573
1217.3520,437.3767,-194.5573
1219.3520,437.3767,-194.5573
1221.3520,437.3767,-194.5573
1223.3520,437.3767,-194.5573
1225.3520,437.3767,-194.5573
1227.3520,437.3767,-194.5573
1229.3520,437.3767,-194.5573
1231.2000,437.3767,-194.5573
1231.2000,437.3767,-194.5573
1233.1885,437.1919,-194.5573
1235.1087,436.6430,-194.5573
1236.8945,435.7489,-194.5573
1238.4850,434.5410,-194.5573
1239.8256,433.0607,-194.5573
1240.8695,431.3581,-194.5573
1241.5811,429.4920,-194.5573
1241.9365,427.5268,-194.5573
1241.9766,426.6001,-194.5573
1241.9766,426.6001,-194.5573
1241.9766,424.6001,-194.5573
1241.9766,422.6001,-194.5573
1241.9766,420.6001,-194.5573
1241.9766,418.6001,-194.5573
1241.9766,416.6001,-194.5573
1241.9766,414.6001,-194.5573
1241.9766,412.6001,-194.5573
1241.9766,410.6001,-194.5573
1241.9766,408.6001,-194.5573
1241.9766,408.0000,-194.5573
