x,y,z,rx,ry,rz
-271.069,-73.619,1429.715,160.033,-4.807,20.779
-266.904,-71.762,1430.813,158.597,0.791,27.198
-263.449,-68.808,1431.622,156.909,-2.237,18.499
-258.928,-68.402,1432.688,161.177,-11.066,-6.436
-254.294,-69.733,1433.742,164.393,-12.862,-15.882
-250.071,-71.150,1434.000,163.286,-7.950,-7.429
-245.201,-71.293,1433.781,162.417,-6.641,-7.490
-240.512,-72.601,1434.515,163.193,-4.340,-10.114
-235.678,-72.882,1434.872,161.562,-1.903,-11.641
-231.040,-74.248,1435.728,162.000,-2.149,-14.958
-226.236,-75.186,1435.887,161.716,-0.622,-11.606
-221.451,-76.002,1436.472,162.361,-0.102,-8.154
-216.730,-76.353,1436.511,161.774,-3.169,-14.156
-212.270,-78.184,1437.389,164.865,-4.939,-15.525
-207.805,-78.731,1437.672,164.366,-1.786,-5.915
-203.044,-79.109,1437.788,163.506,-2.219,-7.854
-198.424,-79.909,1438.429,163.125,-2.702,-9.949
-193.734,-80.456,1439.161,164.483,-2.482,-11.692
-189.172,-81.724,1439.187,165.690,-1.417,-12.597
-184.614,-82.551,1439.175,166.316,-1.632,-11.172
-180.110,-83.554,1439.287,165.801,-4.764,-7.952
-175.413,-83.778,1440.175,163.734,-4.040,-10.213
-170.750,-85.025,1440.686,165.060,-3.926,-12.347
-166.074,-85.842,1440.762,165.157,-3.031,-12.919
-161.677,-86.988,1441.611,165.405,-1.376,-1.947
-156.914,-86.081,1441.256,163.814,-3.607,-6.544
-152.520,-87.996,1442.339,165.663,-7.071,-19.244
-147.724,-89.165,1442.923,164.929,-4.590,-6.500
-143.115,-89.248,1442.433,163.560,-8.367,-21.803
-142.290,-91.620,1442.904,169.916,-11.800,-42.034
-138.355,-93.767,1442.831,167.676,-6.778,-17.167
-133.791,-94.218,1444.082,164.636,-3.965,-12.419
-130.182,-95.371,1444.107,166.146,-4.848,-10.517
-125.381,-95.954,1444.111,165.744,-0.896,6.634
-121.115,-94.264,1444.453,163.730,1.322,14.971
-118.328,-93.753,1444.983,162.538,-4.364,-5.870
-113.786,-94.975,1445.151,166.091,-6.438,-14.255
-109.480,-96.028,1445.911,165.674,-3.855,-3.806
-104.659,-95.385,1446.539,164.067,-4.276,-9.690
-100.709,-97.549,1446.493,168.153,-7.830,-24.600
-96.245,-99.246,1447.770,166.572,-3.827,-6.226
-91.480,-98.417,1447.694,163.384,-0.963,0.573
-87.614,-99.424,1447.031,164.828,-5.210,-13.549
-83.494,-100.492,1447.904,165.181,-7.075,-18.750
-80.145,-101.896,1448.235,163.589,-6.114,-6.105
-75.730,-101.274,1448.905,161.809,-6.190,-5.583
-71.369,-102.546,1449.824,162.797,-8.942,-15.140
-66.842,-103.835,1449.866,160.211,-6.222,-2.570
-62.100,-103.345,1449.766,160.339,-5.594,-5.739
-57.539,-104.853,1450.552,161.176,-10.595,-16.216
-53.155,-105.922,1451.579,160.294,-6.083,-2.336
-48.469,-105.550,1450.602,160.536,-7.051,-5.260
-43.945,-107.251,1451.361,163.221,-10.743,-12.358
-39.127,-107.620,1452.343,163.053,-10.009,-12.613
-35.370,-109.191,1452.844,163.352,-9.388,-14.148
-30.784,-109.990,1452.896,162.548,-6.419,-7.792
-26.031,-110.676,1453.252,165.439,-4.780,-7.084
-21.158,-111.282,1453.343,166.797,-3.737,-6.840
-16.303,-111.819,1453.993,166.142,-5.734,-11.845
-11.897,-113.043,1455.010,164.821,-4.005,-9.567
-7.265,-113.363,1454.560,161.012,-1.143,-6.654
-2.599,-114.426,1454.337,161.401,-1.927,-9.053
2.018,-114.700,1455.293,159.323,-1.118,-12.196
6.708,-115.964,1455.749,158.507,-3.534,-17.396
11.263,-117.431,1456.291,160.542,-3.882,-17.733
15.950,-118.707,1456.976,162.007,-1.153,-5.602
20.819,-118.235,1456.892,159.816,-1.537,-9.046
25.203,-119.919,1457.928,161.468,-2.966,-15.634
29.905,-120.632,1457.798,162.632,1.186,-1.308
34.593,-119.992,1458.187,161.296,-1.354,-7.084
39.132,-121.613,1458.504,162.842,-4.388,-15.913
43.296,-122.241,1459.601,161.949,-3.922,-12.645
47.741,-123.435,1459.434,165.415,-7.129,-15.582
52.243,-124.918,1460.092,164.936,-8.414,-14.883
56.726,-125.976,1460.259,163.663,-5.739,-5.408
60.919,-125.848,1460.598,161.920,-4.687,-3.005
65.661,-126.328,1461.352,161.077,-6.820,-10.110
70.407,-127.560,1461.691,161.170,-5.824,-11.763
75.238,-128.417,1462.077,160.283,-4.065,-8.262
80.015,-128.825,1462.740,159.822,-4.841,-12.427
83.605,-130.448,1462.307,163.845,-10.785,-32.972
85.017,-132.824,1461.731,166.373,-9.218,-32.197
89.339,-134.378,1462.306,166.599,-5.558,-17.420
93.900,-135.654,1462.469,165.635,-5.326,-11.071
98.757,-136.215,1463.220,164.217,-4.056,-4.270
103.371,-136.148,1463.895,161.510,2.207,16.207
105.959,-133.709,1464.113,159.690,-0.379,6.327
110.319,-134.989,1464.983,159.986,-5.217,-7.948
115.138,-134.931,1465.122,159.693,-4.187,-3.852
119.758,-135.799,1465.205,160.517,-4.868,-10.055
124.260,-136.718,1465.440,162.073,-4.717,-15.403
128.743,-138.306,1465.882,163.478,-2.828,-11.857
133.350,-138.175,1467.384,162.812,-1.797,-7.930
137.929,-139.380,1466.828,165.690,-3.569,-14.597
142.612,-140.828,1467.071,166.571,-4.017,-13.411
147.095,-141.485,1467.821,167.015,-4.516,-10.344
151.651,-142.287,1468.609,165.047,-6.357,-7.071
156.400,-142.800,1468.265,162.661,-6.556,-3.483
161.169,-143.005,1469.261,160.623,-7.790,-6.933
165.741,-143.752,1470.073,160.868,-10.328,-13.151
170.142,-145.510,1469.791,159.710,-9.722,-13.616
174.843,-146.272,1470.850,159.346,-7.435,-9.596
179.610,-147.219,1470.760,159.695,-6.639,-5.676
184.519,-147.489,1471.293,160.360,-8.130,-6.529
188.795,-148.440,1471.606,161.951,-7.750,-5.598
193.074,-148.645,1471.487,162.105,-10.411,-12.062
197.093,-150.407,1472.577,165.163,-11.065,-20.266
201.553,-151.981,1472.530,163.100,-4.786,-4.395
206.329,-151.407,1472.400,162.901,-1.574,-0.992
