x,y,z,rx,ry,rz
-270.915,-72.970,1429.104,162.036,-7.654,10.939
-266.269,-71.934,1430.163,159.564,-1.504,22.560
-263.149,-68.947,1431.306,157.356,-4.992,13.001
-258.415,-69.476,1432.391,162.961,-10.217,-7.823
-253.528,-70.344,1432.810,163.981,-10.196,-8.528
-248.641,-71.213,1433.228,164.313,-7.967,-9.188
-243.754,-72.081,1433.647,163.617,-6.655,-9.533
-238.867,-72.949,1434.065,164.089,-3.381,-10.485
-233.980,-73.817,1434.484,162.874,-1.992,-10.948
-229.093,-74.685,1434.903,162.591,-0.829,-11.329
-224.206,-75.554,1435.321,162.611,-1.253,-11.194
-219.318,-76.422,1435.740,163.128,-1.977,-10.939
-214.431,-77.290,1436.158,163.912,-3.456,-10.469
-209.544,-78.158,1436.577,163.881,-3.016,-10.597
-204.657,-79.026,1436.995,164.546,-3.390,-10.471
-199.770,-79.895,1437.414,163.435,-3.229,-10.549
-194.883,-80.763,1437.833,164.551,-2.078,-10.834
-189.996,-81.631,1438.251,166.345,-1.087,-10.983
-185.109,-82.499,1438.670,166.579,-1.662,-10.830
-180.222,-83.368,1439.088,165.380,-5.062,-10.011
-175.335,-84.236,1439.507,165.167,-4.005,-10.290
-170.448,-85.104,1439.925,164.919,-3.484,-10.435
-165.561,-85.972,1440.344,165.759,-2.564,-10.648
-160.673,-86.840,1440.762,166.282,-3.965,-10.283
-155.786,-87.709,1441.181,166.083,-4.982,-10.033
-150.899,-88.577,1441.600,165.575,-4.323,-10.202
-146.012,-89.445,1442.018,165.030,-7.015,-17.969
-142.315,-91.558,1442.013,167.862,-8.843,-28.188
-138.371,-93.780,1442.390,168.421,-6.759,-18.899
-133.484,-94.648,1442.808,166.814,-3.035,-10.494
-128.597,-95.517,1443.227,167.361,-4.866,-8.949
-123.716,-96.180,1443.681,166.690,-0.903,7.820
-119.949,-94.163,1444.058,163.504,-1.055,6.594
-115.097,-94.937,1444.666,166.152,-5.044,-9.790
-110.209,-95.806,1445.085,167.010,-5.745,-9.860
-105.322,-96.674,1445.503,165.808,-4.099,-10.257
-100.435,-97.542,1445.922,166.364,-4.460,-10.161
-95.548,-98.410,1446.340,166.781,-4.665,-10.110
-90.661,-99.278,1446.759,165.879,-4.568,-10.137
-85.774,-100.147,1447.177,165.144,-4.967,-10.035
-80.887,-101.015,1447.596,163.365,-6.664,-9.521
-76.000,-101.883,1448.014,162.820,-7.500,-9.243
-71.113,-102.751,1448.433,163.070,-6.780,-9.475
-66.226,-103.620,1448.852,161.682,-7.932,-9.041
-61.339,-104.488,1449.270,161.190,-7.218,-9.254
-56.451,-105.356,1449.689,161.386,-7.905,-9.032
-51.564,-106.224,1450.107,162.136,-8.016,-9.041
-46.677,-107.092,1450.526,163.973,-8.733,-8.947
-41.790,-107.961,1450.944,163.369,-9.005,-8.821
-36.903,-108.829,1451.363,163.054,-7.805,-9.162
-32.016,-109.697,1451.782,162.678,-6.371,-9.589
-27.129,-110.565,1452.200,165.444,-5.150,-9.988
-22.242,-111.433,1452.619,167.410,-4.212,-10.210
-17.355,-112.302,1453.037,167.705,-5.094,-10.014
-12.468,-113.170,1453.456,165.895,-5.004,-10.027
-7.581,-114.038,1453.874,163.147,-2.586,-10.753
-2.694,-114.906,1454.293,161.823,-2.724,-10.764
2.194,-115.775,1454.711,160.184,-1.264,-11.359
7.081,-116.643,1455.130,159.903,-1.038,-11.462
11.968,-117.511,1455.549,160.863,-1.639,-11.181
16.855,-118.379,1455.967,161.160,-3.088,-10.667
21.742,-119.247,1456.386,161.527,-1.540,-11.173
26.629,-120.116,1456.804,162.064,-1.647,-11.104
31.516,-120.984,1457.223,163.633,-2.552,-10.742
36.403,-121.852,1457.641,162.985,-2.110,-10.906
41.290,-122.720,1458.060,163.210,-3.525,-10.466
46.177,-123.588,1458.479,165.224,-4.514,-10.155
51.064,-124.457,1458.897,165.050,-6.409,-9.648
55.952,-125.325,1459.316,164.019,-6.880,-9.482
60.839,-126.193,1459.734,163.202,-6.903,-9.443
65.726,-127.061,1460.153,162.521,-6.304,-9.605
70.613,-127.930,1460.571,161.303,-5.128,-9.969
75.500,-128.798,1460.990,160.765,-4.716,-10.110
80.387,-129.666,1461.408,161.626,-8.647,-23.730
83.375,-132.563,1461.471,166.130,-7.635,-28.280
88.028,-134.001,1461.780,165.745,-4.527,-13.517
92.915,-134.869,1462.199,165.496,-4.124,-10.254
97.803,-135.737,1462.617,163.860,-5.202,-6.346
102.670,-135.937,1463.150,161.899,-0.516,7.519
106.416,-134.290,1463.638,160.492,-1.275,3.485
111.303,-135.158,1464.056,160.203,-6.082,-9.618
116.190,-136.027,1464.475,160.817,-5.851,-9.714
121.077,-136.895,1464.893,162.110,-3.940,-10.359
125.964,-137.763,1465.312,162.472,-2.747,-10.731
130.851,-138.631,1465.731,164.189,-2.285,-10.794
135.738,-139.499,1466.149,164.967,-2.116,-10.802
140.625,-140.368,1466.568,165.287,-3.088,-10.530
145.512,-141.236,1466.986,167.302,-4.117,-10.233
150.399,-142.104,1467.405,166.605,-7.101,-9.529
155.286,-142.972,1467.823,165.171,-8.161,-9.187
160.173,-143.840,1468.242,163.807,-8.943,-8.874
165.061,-144.709,1468.660,161.429,-8.902,-8.699
169.948,-145.577,1469.079,159.930,-7.898,-8.946
174.835,-146.445,1469.498,159.947,-7.147,-9.222
179.722,-147.313,1469.916,160.978,-7.874,-9.018
184.609,-148.182,1470.335,162.530,-8.198,-9.008
189.496,-149.050,1470.753,163.888,-9.241,-8.794
194.383,-149.918,1471.172,164.766,-8.941,-8.949
199.270,-150.786,1471.590,163.161,-6.974,-9.420
204.157,-151.654,1472.009,163.283,-5.069,-9.999
209.044,-152.523,1472.428,163.045,-2.082,-10.911
213.931,-153.391,1472.846,162.660,-0.561,-11.407
218.819,-154.259,1473.265,163.378,-1.227,-11.150
223.706,-155.127,1473.683,161.488,-1.527,-11.180
228.593,-155.995,1474.102,160.683,-4.110,-10.324
233.480,-156.864,1474.520,158.898,-5.817,-9.688
