x,y,z,rx,ry,rz
108.537,68.382,1372.058,157.469,-5.168,-2.854
113.315,68.000,1372.145,156.604,-5.977,-4.179
117.962,67.244,1372.010,155.595,-6.214,-7.339
122.721,66.188,1371.864,154.516,-3.093,-6.478
127.426,66.018,1372.209,155.239,-6.271,-13.533
131.641,64.363,1373.548,155.407,-7.314,-15.394
136.456,64.055,1374.505,155.752,-3.882,-12.289
141.099,62.531,1374.698,158.067,-1.796,-10.669
145.714,62.093,1374.269,159.506,-1.331,-6.600
150.447,61.584,1375.273,159.305,-4.636,-9.993
155.072,60.560,1375.343,159.394,-7.361,-11.153
159.694,59.819,1376.642,158.555,-8.452,-11.169
164.347,58.798,1376.920,156.515,-6.719,-8.866
168.809,57.825,1376.428,155.590,-4.484,-8.860
173.653,57.065,1377.045,155.604,-4.643,-11.342
178.291,56.059,1377.508,154.926,-2.817,-7.600
182.865,56.050,1377.955,154.269,-4.109,-9.787
187.017,54.800,1378.646,154.002,-5.817,-11.484
191.675,54.162,1378.673,154.189,-5.938,-9.931
196.373,52.772,1378.841,154.812,-8.007,-12.456
201.101,51.971,1379.808,154.731,-7.284,-10.889
205.643,51.292,1380.676,154.375,-4.727,-6.282
210.347,50.571,1379.785,154.479,-4.729,-4.315
214.913,49.855,1379.904,154.841,-6.667,-7.856
219.525,49.065,1380.363,154.936,-7.670,-10.279
224.153,48.103,1381.008,156.250,-12.500,-19.106
228.091,46.247,1382.690,153.886,-7.988,-5.721
232.754,47.054,1381.840,152.294,-4.918,-0.975
237.333,45.813,1382.957,152.080,-6.747,-7.184
242.246,45.624,1382.535,152.687,-6.164,-7.615
246.832,44.333,1383.589,152.749,-6.677,-9.246
251.664,43.929,1383.344,152.824,-3.153,-7.527
256.401,42.888,1383.773,153.387,-3.883,-12.290
260.976,42.054,1384.288,153.251,-2.844,-13.200
265.476,41.034,1384.763,153.397,-2.833,-14.627
270.150,40.165,1385.728,155.734,7.424,4.570
274.323,42.361,1384.983,159.837,14.555,26.305
278.293,44.024,1382.970,158.386,12.298,22.043
282.687,45.727,1382.968,156.092,6.470,9.753
287.572,46.230,1383.257,156.069,-4.882,-14.895
291.421,43.644,1384.260,157.136,-8.914,-24.837
296.000,42.337,1384.730,157.978,-11.829,-30.941
299.009,38.997,1385.909,162.043,-17.407,-48.813
301.896,35.625,1387.589,159.257,-14.676,-39.440
305.999,33.250,1388.286,155.356,-7.670,-19.810
310.756,32.546,1389.084,154.536,-3.610,-10.120
315.466,31.845,1389.479,154.355,-1.558,-4.006
320.408,31.777,1389.154,156.264,-3.760,-8.197
324.750,30.471,1390.014,157.349,-7.483,-17.569
329.386,28.906,1390.328,156.635,-4.309,-7.594
334.146,29.117,1390.495,156.497,-6.051,-11.841
338.478,27.274,1391.926,156.100,-6.684,-13.353
343.352,27.098,1391.967,154.784,-2.533,-4.609
347.993,26.081,1391.447,154.866,-1.498,-1.625
352.343,26.728,1391.957,157.446,11.493,28.368
355.086,30.294,1390.599,165.819,21.092,57.784
357.063,34.205,1388.516,171.456,24.108,73.331
357.565,38.791,1387.093,176.299,25.420,85.432
357.744,43.076,1384.745,171.496,24.503,74.471
359.793,46.354,1382.604,171.783,24.550,75.071
359.837,50.535,1380.444,175.231,24.885,83.357
360.774,54.952,1378.866,172.367,24.487,76.208
361.923,59.230,1376.761,172.371,25.184,76.625
362.802,63.607,1374.926,172.938,26.120,78.923
363.553,67.804,1372.907,171.517,28.067,79.403
