x,y,z,rx,ry,rz
-4.622,46.192,1376.428,-164.054,-15.178,-105.861
-5.943,41.787,1377.918,-160.802,-13.811,-109.850
-7.455,38.227,1378.387,-163.394,-19.273,-90.172
-6.604,35.693,1382.333,-162.778,-19.948,-98.140
-8.652,31.363,1381.648,-154.711,-16.142,-110.516
-9.198,26.911,1383.548,-170.047,-23.608,-79.565
-7.403,23.466,1386.395,-178.696,-21.365,-56.911
-4.638,19.879,1387.683,179.972,-15.569,-46.600
-1.652,17.385,1388.271,176.519,-11.222,-19.195
2.864,17.286,1389.546,173.496,-6.405,-6.618
7.498,16.382,1389.817,172.940,-3.448,-6.706
12.193,16.257,1390.657,171.254,-4.674,-11.790
16.753,14.439,1390.520,171.456,-5.952,-14.153
21.277,13.795,1390.528,171.161,-6.434,-9.116
25.876,12.898,1391.074,171.517,-5.709,-14.944
30.483,11.338,1391.480,173.541,-4.710,-15.236
35.085,10.398,1391.924,172.993,-3.074,-6.938
39.968,10.242,1392.462,171.422,-6.659,-3.628
44.703,9.750,1392.800,172.853,-3.716,-6.440
49.481,9.183,1393.207,173.278,-3.156,-11.952
54.126,7.824,1393.897,172.546,-2.458,-13.486
58.909,7.015,1394.315,172.481,-1.163,-14.078
63.128,5.561,1394.046,173.838,-0.118,-11.025
67.804,5.334,1394.804,173.857,-1.702,-7.584
72.570,4.373,1394.962,174.887,-4.305,-10.463
77.271,3.602,1395.704,173.565,-6.576,-12.473
81.840,2.269,1395.597,174.869,-6.981,-16.255
86.471,0.802,1395.614,176.747,-5.942,-8.393
91.044,0.934,1396.956,174.247,-4.448,-4.262
95.757,0.114,1396.380,171.843,-5.745,-7.466
100.593,-0.482,1396.786,170.772,-6.616,-5.635
104.868,-0.687,1398.045,169.488,-7.025,-10.075
109.456,-1.927,1398.583,168.241,-6.994,-6.819
114.263,-1.694,1399.765,166.124,-6.417,-4.179
118.913,-2.652,1399.514,168.657,-6.724,-13.853
123.168,-4.264,1399.032,168.512,-4.528,-8.958
127.696,-4.010,1400.344,166.810,-4.519,-12.846
131.983,-5.978,1400.978,168.242,-3.079,-14.888
136.797,-6.367,1401.141,168.601,-3.557,-11.532
141.241,-8.012,1400.861,171.375,-5.092,-16.515
145.885,-9.225,1400.956,171.679,-1.815,-4.672
149.845,-8.589,1401.995,170.308,-0.264,-5.898
154.524,-9.871,1402.434,171.675,-0.288,-14.191
158.860,-10.752,1402.816,172.199,0.347,-13.727
163.307,-11.946,1402.875,173.967,-1.600,-13.290
167.332,-12.679,1403.742,174.314,1.032,-7.563
172.122,-13.061,1403.268,174.027,0.279,1.955
176.946,-12.414,1403.094,169.328,0.459,12.442
181.220,-11.367,1401.568,169.159,5.501,37.934
183.883,-7.349,1400.853,172.406,17.872,59.223
185.426,-4.125,1399.599,178.119,20.731,72.861
185.921,-0.806,1397.629,-175.112,20.717,88.536
185.651,3.749,1396.925,-176.287,19.980,84.951
186.702,7.715,1394.985,-179.805,17.034,73.713
188.050,11.976,1392.957,179.083,15.787,72.592
