x,y,z,rx,ry,rz
-80.429,56.487,1371.859,178.230,-17.681,-112.001
-81.877,52.772,1374.800,177.653,-19.969,-112.121
-83.325,49.057,1377.742,-179.707,-21.280,-115.271
-85.421,45.287,1379.979,-176.634,-20.420,-122.439
-88.179,41.461,1381.498,-174.039,-17.324,-132.825
-91.571,38.480,1381.675,-170.561,-10.473,-151.498
-95.861,36.692,1379.955,-171.229,-5.292,-161.452
-100.150,34.905,1378.235,-171.641,-0.314,-173.177
-104.954,35.255,1377.646,-173.654,3.427,173.549
-109.842,35.955,1377.241,-175.048,3.085,171.713
-114.731,36.655,1376.836,-176.420,4.618,171.848
-119.619,37.355,1376.432,-176.906,5.383,171.890
-124.507,38.055,1376.027,-176.117,4.965,171.871
-129.396,38.754,1375.622,-176.307,4.876,171.865
-134.284,39.454,1375.218,-176.412,6.132,169.268
-139.068,40.622,1375.113,-175.491,6.136,164.239
-143.755,42.219,1375.282,-174.459,5.793,161.941
-148.443,43.816,1375.452,-173.844,5.293,161.972
-153.130,45.412,1375.621,-171.649,3.311,164.150
-157.906,46.561,1375.270,-172.958,2.335,167.691
-162.736,47.429,1374.592,-173.490,1.360,169.073
-167.567,48.296,1373.914,-173.321,-0.223,168.868
-172.398,49.163,1373.236,-172.812,1.417,169.002
-177.229,50.031,1372.557,-172.949,3.262,168.883
-182.058,51.023,1372.368,-173.346,4.631,168.360
-186.886,52.118,1372.579,-172.568,4.230,168.094
-191.714,53.212,1372.790,-170.040,4.444,168.433
-196.542,54.307,1373.002,-168.888,2.105,168.643
-201.389,55.233,1372.812,-168.129,1.706,169.498
-206.253,56.017,1372.285,-167.770,2.141,169.979
-211.117,56.801,1371.759,-167.126,3.402,170.221
-215.981,57.585,1371.233,-168.510,4.331,169.911
-220.807,58.448,1370.639,-169.488,10.161,162.658
-225.119,60.364,1369.127,-171.995,13.575,155.316
-229.416,62.292,1367.616,-179.377,20.323,130.602
-230.655,66.822,1366.036,171.055,22.870,101.549
-231.392,71.395,1364.471,166.376,22.609,90.079
-230.838,76.076,1362.944,164.315,19.667,82.743
-230.284,80.757,1361.418,167.115,18.116,83.210
-229.730,85.438,1359.891,169.314,17.435,83.352
