x,y,z,rx,ry,rz
108.588,67.925,1370.519,159.415,-8.022,-8.868
113.456,67.060,1370.936,157.473,-8.161,-8.685
118.324,66.196,1371.353,155.977,-7.284,-8.973
123.192,65.331,1371.769,154.783,-4.683,-10.139
128.060,64.466,1372.186,154.903,-4.809,-10.079
132.929,63.601,1372.603,155.136,-3.956,-10.476
137.797,62.736,1373.020,157.194,-1.691,-11.394
142.665,61.871,1373.437,159.070,-1.822,-11.224
147.533,61.006,1373.854,160.086,-3.597,-10.518
152.401,60.141,1374.271,159.856,-5.274,-9.907
157.270,59.277,1374.688,159.429,-7.817,-8.946
162.138,58.412,1375.105,157.972,-8.335,-8.649
167.006,57.547,1375.522,155.810,-5.992,-9.546
171.874,56.682,1375.939,155.478,-4.442,-10.247
176.742,55.817,1376.356,155.260,-4.263,-10.331
181.611,54.952,1376.773,154.417,-4.253,-10.346
186.479,54.087,1377.190,153.763,-4.854,-10.057
191.347,53.223,1377.607,153.884,-5.582,-9.699
196.215,52.358,1378.024,154.389,-6.446,-9.292
201.083,51.493,1378.441,154.566,-6.497,-9.274
205.952,50.628,1378.858,154.629,-6.095,-9.467
210.820,49.763,1379.274,154.999,-6.926,-9.089
215.688,48.898,1379.691,155.178,-7.061,-9.034
220.556,48.033,1380.108,154.624,-7.336,-8.877
225.424,47.169,1380.525,154.359,-7.912,-8.586
230.292,46.304,1380.942,153.415,-8.797,-8.080
235.161,45.439,1381.359,153.023,-8.068,-8.417
240.029,44.574,1381.776,152.209,-7.056,-8.892
244.897,43.709,1382.193,152.721,-6.671,-9.116
249.765,42.844,1382.610,152.843,-5.491,-9.728
254.633,41.979,1383.027,153.344,-3.243,-10.868
259.502,41.115,1383.444,152.903,-2.183,-11.428
264.370,40.250,1383.861,152.954,-1.125,-10.309
269.269,39.615,1384.172,154.747,5.706,1.539
273.984,40.849,1383.624,158.745,13.059,21.955
278.081,43.382,1382.477,158.842,12.889,23.912
282.733,44.886,1381.804,155.899,5.763,8.620
287.668,44.967,1381.787,155.503,-2.092,-8.383
292.364,43.595,1382.437,157.481,-9.511,-25.721
296.327,40.927,1383.678,160.837,-16.306,-43.151
299.203,37.277,1385.367,161.680,-17.091,-48.053
302.613,34.081,1386.849,157.197,-11.609,-30.617
307.265,32.629,1387.535,154.705,-5.186,-14.267
312.133,31.764,1387.952,154.637,-4.139,-10.398
317.001,30.899,1388.369,156.189,-4.135,-10.377
321.870,30.035,1388.786,156.772,-4.561,-10.185
326.738,29.170,1389.202,157.389,-4.717,-10.117
331.606,28.305,1389.619,156.639,-5.283,-9.873
336.474,27.440,1390.036,156.331,-5.480,-9.784
341.342,26.575,1390.453,155.538,-5.354,-9.830
346.211,25.710,1390.870,155.181,-4.603,-8.364
351.106,25.103,1391.169,155.198,4.525,11.577
355.028,27.485,1390.090,164.024,19.679,52.785
356.240,31.843,1388.093,172.612,24.624,76.023
357.200,36.268,1386.064,173.127,24.732,77.682
358.160,40.693,1384.035,172.867,24.683,77.686
359.120,45.118,1382.005,172.759,24.714,77.681
360.080,49.543,1379.976,172.783,24.467,77.715
361.040,53.968,1377.947,172.981,24.754,77.678
362.000,58.393,1375.918,172.757,25.407,77.584
362.960,62.819,1373.888,172.120,26.290,77.434
363.920,67.244,1371.859,170.264,28.219,76.994
