x,y,z,rx,ry,rz
-268.531,32.751,1381.124,162.814,-5.599,12.394
-260.829,35.407,1384.974,160.209,-1.715,6.156
-251.339,35.768,1384.860,159.276,0.755,1.361
-242.286,36.105,1385.410,159.218,-0.373,-2.010
-232.776,35.205,1385.214,157.524,-1.391,-4.552
-223.726,34.761,1386.183,161.221,-13.495,-38.815
-221.788,27.132,1390.289,172.083,-21.716,-71.985
-218.474,18.740,1393.205,164.137,-8.666,-32.262
-209.045,19.389,1393.467,160.838,4.921,7.679
-201.231,21.284,1392.330,170.264,17.079,50.552
-200.394,29.696,1388.527,175.119,23.562,72.348
-196.651,35.485,1385.074,160.395,13.893,29.348
-187.194,37.165,1384.895,156.984,1.508,0.605
-178.661,36.084,1385.561,157.001,-0.536,-0.539
-169.632,36.896,1384.816,157.099,1.741,5.196
-160.077,37.841,1385.152,157.009,-0.557,-0.017
-150.540,37.009,1385.280,157.116,-1.976,-4.319
-140.946,36.330,1385.658,157.264,1.336,3.311
-131.729,38.048,1384.724,157.923,3.548,5.263
-123.292,37.984,1384.627,158.937,0.622,-9.337
-115.358,34.408,1382.112,161.687,2.651,-19.656
