x,y,z,rx,ry,rz
-115.768,32.736,1383.151,173.226,-19.277,-98.654
-116.553,25.043,1389.255,175.436,-22.939,-100.943
-118.711,16.388,1393.088,-179.084,-20.268,-118.879
-124.893,9.829,1392.699,-174.210,-10.079,-146.886
-133.505,6.134,1391.215,-172.837,-1.556,-168.427
-143.351,5.786,1391.166,-176.548,0.123,-177.988
-153.198,5.439,1391.117,-176.159,-0.222,-178.012
-163.045,5.091,1391.068,-176.771,0.693,178.649
-172.768,5.952,1391.794,-173.782,1.521,173.548
-182.417,7.550,1392.993,-171.399,-0.168,175.123
-192.187,7.814,1393.206,-173.358,-3.890,-179.909
-202.024,7.351,1392.882,-172.975,-3.410,-178.347
-211.853,7.037,1392.673,-173.244,-0.264,178.129
-221.621,8.051,1393.478,-170.510,0.200,175.105
-231.396,8.981,1394.215,-168.021,-3.566,176.850
-241.249,9.033,1394.241,-165.459,-1.756,179.281
-251.102,9.085,1394.266,-165.397,2.271,179.076
-260.634,8.962,1392.000,-175.153,12.356,159.192
-266.545,14.879,1389.806,175.259,21.875,114.607
-267.622,23.940,1386.887,168.773,19.347,92.022
-267.221,33.194,1383.530,171.078,16.691,88.059
