x,y,z,rx,ry,rz
-115.108,32.452,1382.891,173.381,-19.096,-99.793
-116.054,24.866,1388.799,176.209,-23.155,-104.353
-118.926,16.771,1392.882,-176.903,-20.010,-123.361
-125.279,10.610,1392.335,-173.010,-9.610,-149.051
-133.722,7.153,1390.580,-173.111,-1.986,-168.772
-143.375,6.725,1390.600,-175.723,-0.601,-177.494
-153.027,6.296,1390.619,-176.514,-0.108,-177.457
-162.680,5.868,1390.639,-175.662,0.346,179.643
-172.244,6.476,1391.288,-173.970,1.791,174.813
-181.743,7.848,1392.401,-171.670,-0.678,174.754
-191.327,8.385,1392.582,-172.800,-3.693,178.083
-200.975,8.293,1392.063,-172.330,-3.384,179.677
-210.623,8.200,1391.543,-172.650,-0.433,179.426
-220.204,8.550,1392.710,-170.860,-0.697,178.907
-229.783,8.911,1393.921,-168.457,-3.545,179.500
-239.433,8.700,1393.816,-167.158,-1.479,-179.159
-249.089,8.440,1393.597,-168.233,0.727,176.242
-258.442,9.648,1392.133,-171.909,10.403,156.343
-264.828,15.202,1389.580,177.899,22.812,119.907
-266.782,24.045,1386.638,170.558,20.483,98.532
-267.661,33.186,1383.637,174.360,17.581,95.549
