x,y,z,rx,ry,rz
-236.975,65.705,1365.285,164.533,-8.202,6.643
-228.954,67.454,1369.418,160.375,-4.095,1.802
-219.043,67.324,1369.536,159.284,-0.424,-0.851
-209.131,67.194,1369.654,159.091,-0.151,-0.956
-199.219,67.063,1369.772,157.321,-2.524,-9.379
-190.462,64.356,1371.067,165.123,-18.396,-52.401
-190.096,55.417,1375.177,172.564,-21.105,-72.488
-185.423,48.741,1378.271,163.393,-7.036,-26.443
-175.516,48.576,1378.405,165.420,8.932,21.317
-170.108,54.699,1375.624,174.824,20.646,68.915
-169.622,63.675,1371.503,167.475,20.651,52.446
-161.048,66.562,1370.227,157.335,5.203,7.788
-151.136,66.432,1370.345,157.112,-0.220,-0.948
-141.224,66.302,1370.463,157.148,-0.803,-0.702
-131.313,66.171,1370.581,157.250,-1.001,-0.619
-121.401,66.041,1370.700,156.887,-0.816,-0.696
-111.490,65.911,1370.818,157.290,-0.564,-0.802
-101.578,65.781,1370.936,157.553,0.542,-1.258
-91.667,65.651,1371.054,160.022,3.778,-3.612
-83.598,63.690,1367.113,165.215,7.536,-8.509
