x,y,z,rx,ry,rz
-237.369,64.971,1366.361,162.738,-6.248,11.026
-229.650,67.438,1370.301,160.205,-2.368,4.780
-220.154,67.571,1370.296,159.326,0.103,-0.014
-211.102,67.690,1370.949,159.306,-1.021,-3.388
-201.615,66.562,1370.859,157.641,-2.034,-5.932
-192.590,65.899,1371.931,161.694,-13.961,-40.306
-190.883,58.222,1376.049,172.772,-21.854,-73.619
-187.805,49.750,1378.993,164.545,-9.182,-33.704
-178.368,50.172,1379.363,160.816,4.267,6.302
-170.498,51.879,1378.317,169.784,16.614,49.038
-169.415,60.273,1374.533,174.466,23.302,70.712
-165.495,65.974,1371.129,160.126,13.295,27.910
-156.000,67.426,1371.060,157.042,0.857,-0.770
-147.504,66.139,1371.821,157.072,-1.185,-1.917
-138.450,66.736,1371.180,157.105,1.088,3.820
-128.880,67.450,1371.625,157.074,-1.208,-1.394
-119.368,66.389,1371.861,157.230,-2.620,-5.700
-109.799,65.479,1372.347,157.292,0.683,1.935
-100.533,66.977,1371.519,157.928,2.894,3.888
-92.100,66.710,1371.517,159.107,-0.009,-10.713
-84.226,62.946,1369.089,161.967,2.060,-21.022
