x,y,z,rx,ry,rz
-84.688,61.284,1370.121,173.896,-19.113,-100.250
-85.727,53.606,1376.207,176.116,-22.750,-102.583
-88.136,45.001,1380.005,-178.512,-19.895,-120.450
-94.469,38.593,1379.538,-173.906,-9.498,-148.312
-103.149,35.107,1377.952,-172.772,-0.905,-169.804
-113.000,34.996,1377.791,-176.591,0.775,-179.365
-122.851,34.885,1377.630,-176.202,0.430,-179.389
-132.701,34.774,1377.469,-176.853,1.342,177.271
-142.409,35.868,1378.086,-173.921,2.160,172.166
-152.029,37.696,1379.176,-171.520,0.475,173.746
-161.791,38.195,1379.280,-173.423,-3.239,178.719
-171.631,37.968,1378.843,-173.022,-2.757,-179.721
-181.463,37.891,1378.522,-173.331,0.384,176.752
-191.211,39.139,1379.218,-170.632,0.842,173.727
-200.968,40.303,1379.845,-168.123,-2.920,175.479
-210.816,40.592,1379.759,-165.533,-1.106,177.906
-220.665,40.880,1379.673,-165.474,2.920,177.696
-230.170,40.989,1377.298,-175.454,12.941,157.748
-235.912,47.048,1375.045,174.591,22.085,112.978
-236.738,56.135,1372.124,168.081,19.302,90.415
-236.076,65.380,1368.783,170.402,16.602,86.488
