x,y,z,rx,ry,rz
-84.032,60.984,1369.869,174.047,-18.920,-101.387
-85.228,53.417,1375.756,176.876,-22.929,-105.990
-88.339,45.390,1379.797,-176.365,-19.597,-124.918
-94.832,39.383,1379.171,-172.729,-9.018,-150.471
-103.335,36.132,1377.316,-173.049,-1.335,-170.149
-112.994,35.935,1377.226,-175.761,0.052,-178.870
-122.654,35.739,1377.135,-176.551,0.545,-178.833
-132.313,35.542,1377.045,-175.732,0.997,178.265
-141.866,36.379,1377.586,-174.095,2.433,173.432
-151.342,37.979,1378.593,-171.795,-0.036,173.378
-160.911,38.745,1378.666,-172.888,-3.045,176.712
-170.551,38.886,1378.037,-172.400,-2.733,178.304
-180.192,39.026,1377.408,-172.723,0.217,178.050
-189.774,39.604,1378.466,-170.938,-0.047,177.531
-199.354,40.194,1379.569,-168.528,-2.895,178.128
-209.004,40.216,1379.355,-167.214,-0.827,179.466
-218.661,40.188,1379.025,-168.342,1.372,174.864
-227.964,41.621,1377.457,-172.237,10.973,154.904
-234.186,47.330,1374.839,177.249,23.078,118.275
-235.892,56.220,1371.885,169.860,20.513,96.909
-236.518,65.383,1368.884,173.674,17.578,93.964
